trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
392,False,"{'a': 0.4, 'e': 0.00036359815553217}",20,8,22.881837623362177,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,False,"{'a': 0.4, 'e': 0.0003563261924215266}",25,0,-5.278017461975533,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
394,False,"{'a': 0.4, 'e': 0.00034919966857309604}",20,13,12.373579699296391,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.4, 'e': 0.0003422156752016341}",30,13,29.609378043383728,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.4, 'e': 0.00033537136169760145}",20,0,26.852316604960834,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
397,False,"{'a': 0.4, 'e': 0.0003286639344636494}",25,19,11.581313644214257,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.4, 'e': 0.0003220906557743764}",30,20,18.05111844201707,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.4, 'e': 0.00031564884265888887}",20,15,12.522830287091478,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.4, 'e': 0.0003093358658057111}",25,12,23.306983063799063,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.4, 'e': 0.0003031491484895969}",30,20,-20.498755413298326,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
402,False,"{'a': 0.4, 'e': 0.00029708616551980496}",30,0,43.295585974136536,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
403,False,"{'a': 0.4, 'e': 0.00029114444220940886}",25,15,19.401858745843263,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.4, 'e': 0.00028532155336522067}",25,0,33.865262078398764,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
405,False,"{'a': 0.4, 'e': 0.00027961512229791625}",25,13,20.26250433654969,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.4, 'e': 0.00027402281985195793}",25,0,35.238991818199985,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
407,False,"{'a': 0.4, 'e': 0.00026854236345491875}",20,4,24.709765052952704,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.4, 'e': 0.00026317151618582036}",25,5,34.73606273778637,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.4, 'e': 0.00025790808586210394}",25,15,20.109063567754273,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.4, 'e': 0.00025274992414486185}",20,7,20.005005648387737,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.4, 'e': 0.00024769492566196463}",20,1,28.60489992792029,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.4, 'e': 0.00024274102714872534}",25,11,26.03103964041784,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.4, 'e': 0.00023788620660575082}",20,9,19.483247836096112,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.4, 'e': 0.0002331284824736358}",25,0,37.41685428896986,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
